node_1,node_2,edge,source
Geographical Region,ln(Patent),"The geographical region to which a country belongs has a significant impact on the number of patents granted, with Asian, European, and North American regions showing a positive effect on innovation production.",Analysis of the Growth in the Number of Patents Granted and Its Effect over the Level of Growth of the Countries: An Econometric Estimation of the Mixed Model Approach
Private Inventors,Patent Applications,Private Inventors are responsible for a significant portion of all national patent applications.,Patent litigation by private inventors - case Finland
Patent Applications,Patent Grants,The success of patent applications in being granted patents is lower for Private Inventors compared to corporate applicants.,Patent litigation by private inventors - case Finland
Private Inventors,Administrative Hearings,"Private Inventors are more frequently involved as defendants in Administrative Hearings, seeking to overturn adverse decisions.",Patent litigation by private inventors - case Finland
Private Inventors,Opposition Actions,"Private Inventors, as defendants, have a higher success rate in Opposition Actions compared to when they act as plaintiffs.",Patent litigation by private inventors - case Finland
Private Inventors,Invalidity Actions,"As defendants, Private Inventors win slightly more Invalidity Actions than they lose, indicating a moderate success rate.",Patent litigation by private inventors - case Finland
Private Inventors,Infringement Actions,"Private Inventors perform similarly to corporate litigants in Infringement Actions, with a win rate of approximately 50%.",Patent litigation by private inventors - case Finland
Private Inventors,Ownership Actions,"Private Inventors have a high success rate in Ownership Actions, indicating they are more effective in these types of litigations.",Patent litigation by private inventors - case Finland
Private Inventors,Employee Invention Actions,"Private Inventors, as plaintiffs, have a high representation and success rate in Employee Invention Actions.",Patent litigation by private inventors - case Finland
Private Inventors,Contract Actions,"Private Inventors have initiated a few Contract Actions, with a moderate success rate.",Patent litigation by private inventors - case Finland
Patent Subsidy Policy,Patent Application,"The implementation of the Patent Subsidy Policy has a significant effect on the number of Patent Applications, particularly in the short term after policy implementation.",The Influence of China Regional Patent Subsidy Policy to Patent Application: An Empirical Analysis
